SITE ID,PLACE,SITE NAME,COUNTY,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3188,Yerba Buena Island,,San Francisco,,,,,,,,,,,,,,,365,10,23,0,16,41
3213,YMCA Reach / Presidio,,San Francisco,,,,,,,,,,,,,,,,,,5,,
3115,"Mare Island, Vallejo",,Solano,,50,,,,,,,,,,,,,,0,,,210,16
2841,"Point Pinole, Point Pinole",,Contra Costa,5000,,1000,600,3,0,,879,0,0,0,0,0,0,785,4,0,,,252
2840,"U.C. Berkeley Extension,",Richmond,Contra Costa,3000,12,,0,150,0,,,,,,,,,,0,,,,
2830,"Albany Hill, Albany",,Alameda,3000,85,3,0,0,0,,,350,,0,83,18,9,2137,45,12,127,1244,875
2831,Ardenwood,"Historical Farm, Fremont",Alameda,25000,5000,135,1530,1000,,1500,2036,,1595,182,683,883,224,4188,1682,1032,2061,2409,2468
3228,Berkeley Aquatic Park,,Alameda,,,,,,,,,,,,,,,,,,,1325,0
2834,"Coyote Hills, Fremont",,Alameda,700,500,210,500,,,300,249,,420,,,72,30,,,0,,,1
2832,"Chuck Corica Golf Course, Bay Farm Island",,Alameda,,1500,,,3000,2000,750,,,2250,,0,100,,,2171,,1010,2226,1710
3229,Lake Merritt,,Alameda,,,,,,,,,,,,,,,,,,,100,50
2836,Skywest Mall,,Alameda,,,,,,,,,,,,,,,,,,,,96
3191,Oyster Point Regional Shoreline,,Alameda,,,,,,,,,,,,,,,,0,0,20,,253
2833,"San Leandro Golf Course, San Leandro",,Alameda,25000,20000,2000,2050,1050,1000,2500,,4900,5625,6000,5000,5000,3000,7000,4000,5000,7750,12864,6675
2837,"Skywest Golf Course, Hayward",,Alameda,,,5000,5600,1000,,,,,,,,54,0,,37,3,,,160
3100,Whitehouse,"Creek, Año Nuevo",San Mateo,,,,,,,,,,,,,,,2,,,,,
2985,"Escalona Gulch, Capitola",,Santa Cruz,,1200,625,166,105,18,0,9,15,2,0,370,9,4,,200,450,950,950,2508
2995,"Home of Peace Cemetery,",Santa Cruz,Santa Cruz,,6,6,27,1,,1,5,34,,0,3,,,,,6,30,600,25
3000,Lighthouse,"Field, Santa Cruz",Santa Cruz,70000,50000,9500,35000,,3200,11000,9600,14000,10300,5700,2607,4000,4000,18100,3200,4500,7000,12000,12000
3011,"Lifeguard Headquarters, 14th Ave., Santa Cruz",,Santa Cruz,,,,43,13,4,0,21,20,13,7,14,14,,,0,0,2,8,8
2989,Manresa State Beach,,Santa Cruz,,,,,,,,,,,,,,,,0,,2,,2
2983,"Moran Lake, Moran Lake",,Santa Cruz,70000,8000,4500,4000,1500,1000,6000,4500,3400,6600,2200,4023,2276,3000,4500,2500,790,4300,5800,4000
2998,"Natural Bridges State Beach, Santa Cruz",,Santa Cruz,120000,60000,15000,20000,3000,6000,5700,9600,3900,7300,2700,3500,1300,2300,3000,500,4600,3400,8000,3500
2986,"New Brighton / Potbelly, Aptos",,Santa Cruz,,445,2000,2640,64,8,3,500,617,2015,12,35,41,24,,400,1145,7,500,250
3010,"Ocean View and Marine Drive, Davenport",,Santa Cruz,,,,,,,,,,,,,,,,,,,,2417
3002,Oxford & Alamar,,Santa Cruz,,,,,,,,,,,,,,,,0,,,,0
2990,Palm Beach,,Santa Cruz,,,,,,,,,,,,,,,,,,4,,171
2984,"Rispin Mansion,",Santa Cruz,Santa Cruz,,5,20,11,17,0,0,16,11,9,3,7,4,2,,9,0,,27,240
2988,"Seascape Golf Course, Aptos",,Santa Cruz,,240,280,1050,1400,4,,950,,2000,48,1560,23,1000,,2500,0,,1800,1000
3005,"South Branciforte, Buena Vista",,Santa Cruz,,2,27,24,23,0,0,75,48,32,5,8,7,2,,7,6,277,185,1980
3008,UCSC Arboretum,,Santa Cruz,,,,,,,,,,,,,,,,0,,9,,0
2924,Andrew Molera State Park,,Monterey,,,,,4470,917,13888,4759,8239,2858,607,4903,155,1551,4201,1852,442,2835,5620,2327
2940,Big Creek Preserve,,Monterey,,,,,,,,,,,,,,,,,,0,0,
2935,"Butterfly Grove Sanctuary,",Pacific Grove,Monterey,45000,35000,25000,20000,14960,4700,22802,10867,12199,28746,8181,17866,793,4968,12265,10790,13420,18128,11472,17100
3192,CH1 Private Site,,Monterey,,,,,,,,,,,,,,,,,0,0,656,4646
3230,CH2 Private Site,,Monterey,,,,,,,,,,,,,,,,,,,62,0
2927,Del Monte Road,,Monterey,,,,,,,,,,,,,,,,,88,572,371,145
3185,Los Padres National Forest/Caltrans Grove,,Monterey,,,,,,,,,,,,,,,6,8,0,19,1,
2921,McWay Canyon,,Monterey,,,,,,,,,,,,,,,,,,0,0,0
2943,"Moss Landing Middle School, Moss Landing",,Monterey,,,,0,,,,,,,,,,,,,,,0,2
2931,Pacific Grove Golf Course,,Monterey,,,,,,,,,,,,,,,,0,,,0,
2926,"Palo Colorado, South of Carmel Highlands",,Monterey,,,,0,300,0,33,10,0,0,1,0,,0,0,,3,14,3,0
2941,"Plaskett Creek, South of Big Sur",,Monterey,,,,0,95,23,3083,786,928,916,0,397,110,0,643,610,3,1021,4400,12
3186,"Point Lobos State Park, Carmel Bay",,Monterey,,6000,,,960,3,4306,1198,14,1430,2,1274,6,39,791,117,486,0,0,0
3160,Prewitt Creek,,Monterey,,,,,105,0,199,0,0,5,0,0,,0,0,,0,3,0,0
2920,Private Property near Big Sur,,Monterey,,,,,10313,5950,21918,32536,16132,14203,6629,5333,3671,2076,9821,15671,21329,32914,5202,39753
2923,"Sycamore Canyon, Big Sur",,Monterey,,,,,,,,,26,4,4,1290,0,0,0,,0,373,0,989
2934,"Washington Park, Pacific Grove",,Monterey,,,,0,,,2750,4325,2,11795,2,0,0,0,61,0,1,0,0,0
3231,Yankee Point,,Monterey,,,,,,,,,,,,,,,,,,,158,0
3085,"Alapay, North of Cayucos",,San Luis Obispo,,,,1700,,,,,,,,,,,,,216,215,0,95
3086,"Avila Golf Course, San Luis Obispo",,San Luis Obispo,,,,1000,3000,,,0,,,0,,,,,,20,,,
3083,"Blacklake I, E of parking area, W of Entrance",,San Luis Obispo,,,,,,,4723,3250,2442,0,0,2862,1632,7120,9713,,0,253,0,0
3089,"Blacklake II, NW end of meadow,",S of Lake,San Luis Obispo,,,,,7000,3900,8500,11714,7110,4080,1921,5390,2240,1775,7583,,12073,8531,8530,5674
3087,"Bowden Estates, San Luis Obispo",,San Luis Obispo,,,,,200,5,950,50,25,49,1,0,4,3,4,0,0,20,8,34
3214,"Callendar Road, Arroyo Grande",,San Luis Obispo,,,,,,,,,,,,,,,,,,799,1426,203
3058,"Camp Keep, Montana De Oro State Park",,San Luis Obispo,50000,2000,1000,8000,1000,5,300,1050,0,0,0,825,0,0,0,,854,2563,2105,674
3232,Cypress Ridge Golf Course,,San Luis Obispo,,,,,,,,,,,,,,,,,,,1104,0
3233,"Del Mar Park, Morro Bay",,San Luis Obispo,,,,,,,,,,,,,,,,,,,3792,3268
3057,"Eagle Rock, Morro Bay",,San Luis Obispo,,,,5000,0,0,0,0,0,463,2,18,15,65,700,80,684,2410,0,705
3046,Fiscalini Ranch,,San Luis Obispo,,,,,,,,,,,,,,,,,,,20750,5618
3090,"French Hospital, San Luis Obispo",,San Luis Obispo,,,,,,,,50,10,53,23,12,85,136,70,,7,,50,0
3067,"Halcyon Hill, Halcyon",,San Luis Obispo,,,,,,,6400,0,4100,2460,177,825,622,4593,7547,4255,2769,3750,1265,1155
3073,"Hamlet, Cambria",,San Luis Obispo,25000,,,,,,4600,600,,,,0,0,1,6073,867,6290,3622,6566,6781
3222,"Happy Hill, Cambria",,San Luis Obispo,,,,,,,,,,,,,,,,,,,,522
3093,"Higuera & Elks Ln SLO Cemetery,",San Luis Obispo,San Luis Obispo,,,,3000,650,150,860,700,900,565,120,140,404,290,1181,104,23,85,180,0
3049,"Kaberline,",Cayucos,San Luis Obispo,35000,7000,2500,7600,25,0,0,20,100,30,8,10,15,1,13,,0,0,0,0
3066,"La Due, Halcyon",,San Luis Obispo,,,,,,,0,0,0,0,0,,0,0,3,,0,,0,0
3077,"Main & South St., Morro Bay",,San Luis Obispo,,,50,1500,5000,10,0,0,2,0,5,5,0,1,9,,0,0,10,0
3076,"Main & Surf St., Morro Bay",,San Luis Obispo,,,,25,3,1,1,2,0,0,2,,2,20,12,,6,0,60,0
3053,"Monarch Lane, Los Osos (modified site)",,San Luis Obispo,3000,4000,1500,3000,2000,150,1160,280,100,1890,400,600,246,63,395,13,540,0,3,2500
3056,"Morro Bay Golf Course, Morro Bay",,San Luis Obispo,20000,40000,5300,6000,1500,806,3535,750,8300,7242,3880,1375,3720,7292,9494,10976,16244,15890,13492,12189
3055,"Morro Bay State Park Campground, Morro Bay",,San Luis Obispo,100,0,3100,13000,5000,2000,8105,3750,0,800,550,335,571,160,21,121,165,2298,4441,4792
